proj,lang,all,fix OR fixed OR bug
https://github.com/purescript/purescript,Haskell,,
https://github.com/reflex-frp/reflex-dom,Haskell,,
https://github.com/scotty-web/scotty,Haskell,,
https://github.com/snoyberg/http-client,Haskell,,
https://github.com/wireapp/wire-server,Haskell,,
https://github.com/yesodweb/yesod,Haskell,,
https://github.com/yi-editor/yi,Haskell,,
https://github.com/Activiti/Activiti,Java,,
https://github.com/apache/dubbo,Java,,
https://github.com/apereo/cas,Java,,
https://github.com/checkstyle/checkstyle,Java,,
https://github.com/crossoverJie/JCSprout,Java,,
https://github.com/dropwizard/dropwizard,Java,,
https://github.com/elastic/elasticsearch,Java,,
https://github.com/google/guava,Java,,
https://github.com/greenrobot/EventBus,Java,,
https://github.com/hibernate/hibernate-orm,Java,,
https://github.com/jenkinsci/jenkins,Java,,
https://github.com/junit-team/junit4,Java,,
https://github.com/mybatis/mybatis-3,Java,,
https://github.com/PhilJay/MPAndroidChart,Java,,
https://github.com/prestodb/presto,Java,,
https://github.com/ReactiveX/RxJava,Java,,
https://github.com/redisson/redisson,Java,,
https://github.com/spring-projects/spring-boot,Java,,
https://github.com/stanfordnlp/CoreNLP,Java,,
https://github.com/xetorthio/jedis,Java,,
https://github.com/zxing/zxing,Java,,
https://github.com/adobe/brackets,JavaScript,,
https://github.com/alvarotrigo/fullPage.js,JavaScript,,
https://github.com/atom/atom,JavaScript,,
https://github.com/axios/axios,JavaScript,,
https://github.com/chartjs/Chart.js,JavaScript,,
https://github.com/expressjs/express,JavaScript,,
https://github.com/facebook/react,JavaScript,,
https://github.com/jquery/jquery,JavaScript,,
https://github.com/meteor/meteor,JavaScript,,
https://github.com/moment/moment,JavaScript,,
https://github.com/mozilla/pdf.js,JavaScript,,
https://github.com/mrdoob/three.js,JavaScript,,
https://github.com/mui-org/material-ui,JavaScript,,
https://github.com/photonstorm/phaser,JavaScript,,
https://github.com/RocketChat/Rocket.Chat,JavaScript,,
https://github.com/select2/select2,JavaScript,,
https://github.com/TryGhost/Ghost,JavaScript,,
https://github.com/uxsolutions/bootstrap-datepicker,JavaScript,,
https://github.com/videojs/video.js,JavaScript,,
https://github.com/vuejs/vue,JavaScript,,
https://github.com/webpack/webpack,JavaScript,,
https://github.com/alchemyst/Dynamics-and-Control,Jupyter Notebook,,
https://github.com/barbagroup/AeroPython,Jupyter Notebook,,
https://github.com/biocore/American-Gut,Jupyter Notebook,,
https://github.com/bokeh/bokeh-notebooks,Jupyter Notebook,,
https://github.com/InsightSoftwareConsortium/SimpleITK-Notebooks,Jupyter Notebook,,
https://github.com/maartenbreddels/ipyvolume,Jupyter Notebook,,
https://github.com/pixiedust/pixiedust,Jupyter Notebook,,
https://github.com/QuantEcon/QuantEcon.notebooks,Jupyter Notebook,,
https://github.com/rlabbe/Kalman-and-Bayesian-Filters-in-Python,Jupyter Notebook,,
https://github.com/rsvp/fecon235,Jupyter Notebook,,
https://github.com/afollestad/material-dialogs,Kotlin,,
https://github.com/anthonycr/Lightning-Browser,Kotlin,,
https://github.com/arturbosch/detekt,Kotlin,,
https://github.com/chrisbanes/tivi,Kotlin,,
https://github.com/corda/corda,Kotlin,,
https://github.com/Gh0u1L5/WechatMagician,Kotlin,,
https://github.com/inorichi/tachiyomi,Kotlin,,
https://github.com/JetBrains/kotlin,Kotlin,,
https://github.com/kittinunf/fuel,Kotlin,,
https://github.com/Kotlin/anko,Kotlin,,
https://github.com/ktorio/ktor,Kotlin,,
https://github.com/mikepenz/FastAdapter,Kotlin,,
https://github.com/ReactiveX/RxKotlin,Kotlin,,
https://github.com/RocketChat/Rocket.Chat.Android,Kotlin,,
https://github.com/SimpleMobileTools/Simple-Calendar,Kotlin,,
https://github.com/square/leakcanary,Kotlin,,
https://github.com/ssseasonnn/RxDownload,Kotlin,,
https://github.com/tipsy/javalin,Kotlin,,
https://github.com/TonnyL/PaperPlane,Kotlin,,
https://github.com/TwidereProject/Twidere-Android,Kotlin,,
https://github.com/apache/incubator-apisix,Lua,,
https://github.com/bungle/lua-resty-template,Lua,,
https://github.com/emmericp/MoonGen,Lua,,
https://github.com/group-butler/GroupButler,Lua,,
https://github.com/kikito/middleclass,Lua,,
https://github.com/Kong/kong,Lua,,
https://github.com/ledgetech/lua-resty-http,Lua,,
https://github.com/luarocks/luarocks,Lua,,
https://github.com/luvit/luvit,Lua,,
https://github.com/mpeterv/luacheck,Lua,,
https://github.com/nrk/redis-lua,Lua,,
https://github.com/Olivine-Labs/busted,Lua,,
https://github.com/OpenNMT/OpenNMT,Lua,,
https://github.com/openresty/lua-resty-core,Lua,,
https://github.com/pkulchenko/ZeroBraneStudio,Lua,,
https://github.com/sumory/lor,Lua,,
https://github.com/Tieske/Penlight,Lua,,
https://github.com/viruscamp/luadec,Lua,,
https://github.com/Windower/Lua,Lua,,
https://github.com/antononcube/MathematicaForPrediction,Mathematica,,
https://github.com/b3m2a1/mathematica-BTools,Mathematica,,
https://github.com/c3m-labs/MeshTools,Mathematica,,
https://github.com/FeynCalc/feyncalc,Mathematica,,
https://github.com/ianhinder/Kranc,Mathematica,,
https://github.com/mfroeling/QMRITools,Mathematica,,
https://github.com/noahbenson/Neurotica,Mathematica,,
https://github.com/obstudio/ThuliumMusic-WL,Mathematica,,
https://github.com/QuantumUtils/quantum-utils-mathematica,Mathematica,,
https://github.com/szhorvat/IGraphM,Mathematica,,
https://github.com/windsteiger/Theorema,Mathematica,,
https://github.com/alecjacobson/gptoolbox,Matlab,,
https://github.com/altmany/export_fig,Matlab,245,
https://github.com/bbci/bbci_public,Matlab,,
https://github.com/fangq/jsonlab,Matlab,,
https://github.com/fieldtrip/fieldtrip,Matlab,,
https://github.com/flatironinstitute/CaImAn-MATLAB,Matlab,,
https://github.com/goGPS-Project/goGPS_MATLAB,Matlab,,
https://github.com/kyamagu/mexopencv,Matlab,,
