lang,measure
Scilab,21365.562500000004
SystemVerilog,21386.18055555556
LLVM,21418.812500000004
Vim-Script,21464.61805555556
UnixPipes,21465.06944444445
Hy,21465.111111111113
Golfscript,21465.173611111113
CMake,21465.250000000004
Moonscript,21466.81944444445
S-lang,21467.534722222226
Potion,21469.361111111113
Smart-BASIC,21469.784722222226
Robotic,21470.02777777778
Pure,21470.583333333336
SmileBASIC,21471.18055555556
LC3-Assembly,21472.82638888889
Limbo,21475.05555555556
ML-I,21475.097222222226
Picat,21478.51388888889
MMIX,21491.47916666667
Brainf---,21492.784722222226
Trith,21615.812500000004
Panda,21615.96527777778
Beeswax,21616.020833333336
Fancy,21616.21527777778
Excel,21616.21527777778
4D,21616.361111111113
Clean,21616.50694444445
Salmon,21617.20138888889
Monte,21617.47916666667
Transact-SQL,21617.625000000004
Gema,21617.708333333336
Agda,21617.736111111113
PL-SQL,21617.77777777778
Xojo,21617.94444444445
Gosu,21618.01388888889
LSE64,21618.097222222226
MoonScript,21618.111111111113
Klong,21618.236111111113
MOO,21618.437500000004
Genyris,21618.55555555556
Arbre,21618.74305555556
Visual-Objects,21618.79166666667
Efene,21619.125000000004
Arc,21620.34027777778
Inform-6,21620.93055555556
Symsyn,21620.937500000004
Hoon,21621.25694444445
Idris,21621.270833333336
NSIS,21621.63888888889
Argile,21622.01388888889
SuperCollider,21622.423611111113
XProc,21623.49305555556
Snobol,21623.50694444445
Kitten,21623.562500000004
TypeScript,21623.958333333336
Lambdatalk,21624.458333333336
Oxygene,21624.86805555556
ALGOL-M,21625.74305555556
8051-Assembly,21633.95138888889
Curry,21637.597222222226
Frege,21638.895833333336
Ezhil,21639.40277777778
6502-Assembly,21640.972222222226
RPG,21654.32638888889
Object-Pascal,21712.75694444445
Brlcad,21767.833333333336
Unlambda,21767.88888888889
Qi,21767.895833333336
Futhark,21767.97916666667
Make,21768.00694444445
Egison,21768.020833333336
Biferno,21768.048611111113
0815,21768.062500000004
KonsolScript,21768.13194444445
NESL,21768.13194444445
Coco,21768.145833333336
Friendly-interactive-shell,21768.159722222226
XPath-2.0,21768.187500000004
ChucK,21768.187500000004
Dao,21768.19444444445
XEec,21768.24305555556
Openscad,21768.284722222226
Kite,21768.361111111113
Rhope,21768.423611111113
Gri,21768.437500000004
Euler-Math-Toolbox,21768.472222222226
Powerbuilder,21768.47916666667
4DOS-Batch,21768.687500000004
Sinclair-ZX81-BASIC,21768.70138888889
L++,21768.708333333336
TPP,21768.72916666667
Luck,21768.74305555556
ScriptBasic,21768.82638888889
Uniface,21768.847222222226
ToffeeScript,21769.06944444445
GFA-Basic,21769.06944444445
AntLang,21769.21527777778
Agena,21769.22916666667
DUP,21769.250000000004
HPPPL,21769.284722222226
Wren,21769.312500000004
Shen,21769.395833333336
NASL,21769.472222222226
Turing,21769.500000000004
LotusScript,21769.51388888889
TIScript,21769.55555555556
SkookumScript,21769.57638888889
Fexl,21769.88888888889
Dylan,21769.99305555556
MySQL,21770.062500000004
Quill,21770.361111111113
Onyx,21770.409722222226
Computer-zero-Assembly,21770.437500000004
Dylan.NET,21770.44444444445
Ferite,21770.784722222226
Vox,21770.94444444445
App-Inventor,21771.048611111113
Squirrel,21771.062500000004
Golo,21771.111111111113
Comefrom0x10,21771.187500000004
Wrapl,21771.38888888889
OASYS,21771.597222222226
CLIPS,21771.875000000004
C++-CLI,21771.875000000004
PIR,21772.11805555556
RPL,21772.187500000004
Lhogho,21772.22916666667
Algae,21772.26388888889
PeopleCode,21772.26388888889
Eero,21772.34027777778
Clay,21772.43055555556
Z80-Assembly,21772.51388888889
SequenceL,21772.645833333336
Lucid,21772.750000000004
SPAD,21772.88888888889
MLite,21773.07638888889
EC,21773.145833333336
Order,21773.74305555556
EDSAC-order-code,21773.77777777778
68000-Assembly,21773.79166666667
Set-lang,21774.25694444445
Peloton,21774.59027777778
Ra,21775.68055555556
ANTLR,21775.99305555556
Nit,21776.09027777778
Xanadu,21777.75694444445
Monkey,21777.798611111113
Clipper-XBase++,21779.375000000004
Mathprog,21781.38194444445
Viua-VM-assembly,21786.06944444445
PDP-11-Assembly,21787.708333333336
Heron,21787.770833333336
Battlestar,21788.36805555556
F-Sharp,21788.687500000004
BlitzMax,21793.375000000004
FormulaOne,21815.173611111113
BCPL,21888.59027777778
