lang,zipped,raw,compression ratio
Mathematica,168.780323227729,6302.86805555556,0.026778336741313
Delphi,378.450192006217,14206.8472222222,0.026638576883846
VBA,388.166620750732,14636.8263888889,0.026519862327902
Neko,497.875801079069,18950.4652777778,0.026272484278415
Simula,517.334984819343,20135.4930555556,0.02569269018603
C-sharp,439.071789341051,17229.5694444444,0.02548361935316
Oz,346.889973106108,13637.6180555556,0.025436258127554
PL-I,338.744742739306,13347.8194444444,0.025378283258117
AppleScript,451.792366931451,18170.8888888889,0.024863525922924
Eiffel,484.349597002038,19498.3194444445,0.024840581691262
Common-Lisp,308.512048658429,12467.9375,0.024744433364254
PHP,280.923897445113,11366.8194444444,0.024714380202671
Objeck,335.570923822975,13606.4305555556,0.024662671260683
Forth,344.180247245874,14150.5138888889,0.024322809047672
Component-Pascal,482.005061747409,20322.1319444444,0.02371823306064
VBScript,297.188057363694,12580.0138888889,0.023623825854929
Python,272.482576138774,11550.1388888889,0.023591281348218
Batch-File,368.006952801716,15636.3472222222,0.023535353082893
Clojure,215.969582926911,9185.17361111111,0.023512847124159
Run-BASIC,287.255251212187,12257.2916666667,0.023435458584491
REBOL,368.494190304438,15814.0972222222,0.023301626714842
Lasso,300.939210832362,12967.5416666667,0.023207113465919
Euphoria,357.491821785892,15441.9791666667,0.02315064784944
X86-Assembly,474.237439865819,20631.75,0.022985807789733
Zkl,253.739716571876,11168.2222222222,0.022719794746472
ERRE,426.584293929155,18816.6666666667,0.022670555921833
Visual-Basic,454.013509581523,20040.1666666667,0.022655176333274
Bracmat,305.513270309285,13569.8680555556,0.022514092919585
Nemerle,409.721150566892,18484.7569444445,0.022165352338594
Modula-2,446.591918220039,20291.625,0.022008681819225
Haskell,283.985275439392,13007.0486111111,0.021833183217045
Elixir,272.698674237988,12585.1527777778,0.021668284768025
OoRexx,402.828303608257,18896.9930555556,0.021317058350182
TSE-SAL,444.351246744213,21360.6597222222,0.020802318492155
Elena,338.921985687124,16295.3194444444,0.020798732227534
XPL0,452.57890082844,21768.1875,0.020790839881751
Visual-Basic-.NET,361.500639773264,17421.8611111111,0.020749829049131
MMIX,445.427810149198,21491.4791666667,0.020725786563824
BASIC,412.946804964932,20194.6597222222,0.020448317062284
JavaScript,320.391279348622,15790.0277777778,0.02029073563756
Gambas,290.276115228604,14335.9097222222,0.020248182421144
Oberon-2,387.458265089179,19279.0277777778,0.020097396484681
Factor,210.20736978566,10522.1180555556,0.01997766691799
6502-Assembly,431.525344771305,21640.9722222222,0.019940201407781
FutureBasic,383.219873052558,19288.3541666667,0.019867940506548
Modula-3,364.074314573564,18469.9444444444,0.019711716820192
Prolog,343.10992636868,17432.8125,0.019681845735947
Objective-C,372.69681914828,19279.9722222222,0.019330775732068
TUSCRIPT,249.40805534884,12928.2708333333,0.01929167934089
OxygenBasic,398.988100546739,20733.0972222222,0.019244018212537
CoffeeScript,344.426540439689,18122.125,0.019005858332822
Scheme,275.550870106538,14651.8680555556,0.018806535048072
ATS,394.520212817371,21032,0.018758093040004
PowerBASIC,364.918900898411,19749.5902777778,0.018477289693904
Applesoft-BASIC,379.885757479027,20574.9305555556,0.018463525621789
PowerShell,255.256350539459,13919.4444444444,0.018338113389385
RPG,396.559437559599,21654.3263888889,0.018313173563463
EchoLisp,320.763208634341,17609.1944444445,0.018215666233133
Swift,287.811168360719,15838.8888888889,0.018171171625721
AutoIt,331.139624325014,18363.0763888889,0.018032905669628
Brainf---,384.702463762874,21492.7847222222,0.017899144700645
ECL,374.653718592002,21028.75,0.017816261955276
Elm,371.900466526382,20889.6527777778,0.017803094693944
Ezhil,382.363185819071,21639.4027777778,0.017669766108875
XProc,257.231866307757,14564.1805555556,0.01766195257787
Fantom,294.090094005925,16836.5,0.017467412704893
Mirah,360.449322655178,20747.0486111111,0.017373522827827
Object-Pascal,376.732010548365,21712.7569444444,0.017350722043833
Limbo,370.971533655178,21475.0555555556,0.017274531965493
GAP,307.304988272071,17908.7986111111,0.017159441844492
Inform-7,351.773797124867,20740.9583333333,0.016960344429193
LOLCODE,361.045727094417,21334.9722222222,0.016922718404965
MUMPS,314.598089626605,18659.7291666667,0.016859735037773
Logtalk,348.623760822612,20729.7569444444,0.01681755178109
EGL,355.947349237672,21235.3819444444,0.016761994211778
HicEst,271.649930249241,16216.3680555556,0.016751588846442
BCPL,364.06436467553,21888.5902777778,0.016632609046785
NewLISP,255.449289314848,15467.5763888889,0.016515146451667
8051-Assembly,356.140309587299,21633.9513888889,0.016462101776295
OpenEdge-Progress,318.691233840278,19417.4652777778,0.016412607375948
Lisaac,337.07122253777,20719.0347222222,0.016268674050546
BlitzMax,350.454768322569,21793.375,0.016080793742253
SystemVerilog,343.131172315437,21386.1805555556,0.016044527980304
LC3-Assembly,343.459751805671,21472.8263888889,0.01599508819125
Standard-ML,277.65475315178,17488.4930555556,0.015876425274022
Maxima,264.187295251486,16664.4444444444,0.015853351495289
REALbasic,324.290384909712,20576.3958333333,0.015760310383628
EDSAC-order-code,342.990111064555,21773.7777777778,0.015752439221393
Ceylon,318.315543193121,20309.8541666667,0.015672960553087
Free-Pascal,326.404281878554,20874.7013888889,0.015636356937412
Visual-FoxPro,332.153192053677,21325.2222222222,0.015575602851517
Chapel,328.562185175107,21345.2708333333,0.015392739110249
Battlestar,335.034972940353,21788.3680555556,0.015376781413187
E,260.41741518954,16962.4791666667,0.015352556229003
LSL,327.092406704,21322.3194444444,0.015340376433073
SNOBOL4,259.334003888905,16973.6666666667,0.015278608269019
GML,323.051499105522,21174.9652777778,0.015256294159998
Cache-ObjectScript,320.889956346272,21191.5763888889,0.01514233535333
Groovy,220.688154221448,14574.6944444444,0.015141871760171
ActionScript,290.572060796333,19246.375,0.015097495543776
ALGOL-M,325.87038947201,21625.7430555556,0.015068633185684
MATLAB,226.095206931606,15016.3263888889,0.015056625773592
FBSL,313.559165102855,20887.1180555556,0.015012083728777
RapidQ,300.183939265446,20149.0208333333,0.014898189929351
R,212.257174622571,14291.9930555556,0.014851474794138
AmigaE,313.975513138594,21320.4027777778,0.014726528218587
UNIX-Shell,238.335313042529,16275.6388888889,0.0146436840157
FormulaOne,318.659629280532,21815.1736111111,0.014607246999778
Oxygene,314.560153205318,21624.8680555556,0.014546223005717
PostScript,298.718096754942,20571.7916666667,0.014520762294077
Dylan.NET,315.558811093677,21770.4444444444,0.014494826318266
68000-Assembly,314.526140889365,21773.7916666667,0.014445170859739
ANTLR,313.754873994499,21775.9930555556,0.014408292342583
8th,275.934363931652,19162.0625,0.014400034648235
Viua-VM-assembly,313.619333932659,21786.0694444444,0.014395406878345
Sather,288.183115108462,20118.4097222222,0.014324348648201
Haxe,302.016257289089,21167.75,0.014267754356939
NSIS,307.749029487474,21621.6388888889,0.014233381246859
C++-CLI,309.440280367983,21771.875,0.014212844799448
Smalltalk,230.320050275345,16218.4930555556,0.014201075863608
Maple,206.111850497583,14548.2847222222,0.014167433098333
PDP-11-Assembly,308.346597612627,21787.7083333333,0.014152318954118
PeopleCode,307.91618358137,21772.2638888889,0.014142589174593
